model,location_id,rmse,mae,mape
Gradient Boosting,SITE-027,10.068553696724123,10.068553696724123,13.241243673271196
Gradient Boosting,SITE-028,10.399711287199054,9.89459626812986,17.41055451304602
Gradient Boosting,SITE-029,15.810465403295126,15.810465403295126,32.25045431870648
Gradient Boosting,SITE-030,1.9718633518176674,1.9718633518176674,3.1857211279034785
Gradient Boosting,SITE-031,6.6832471803147655,6.6832471803147655,11.287598835150742
Gradient Boosting,SITE-033,3.222588182797537,3.222588182797537,5.447660937052732
Gradient Boosting,SITE-034,11.301718653329399,10.672222360974724,14.874364066941748
Gradient Boosting,SITE-036,0.5819042023622671,0.5819042023622671,0.8690154993568348
Gradient Boosting,SITE-037,10.493588044942998,10.245113232399476,14.682125904423387
Gradient Boosting,SITE-039,12.241471670664872,9.112711165977082,11.480586990885815
Gradient Boosting,SITE-040,14.094728012529776,13.326428207902879,19.40915141542556
Gradient Boosting,SITE-041,5.261350423480048,3.8696715458171766,5.642122244723542
Gradient Boosting,SITE-042,8.672479316340706,8.672479316340706,13.691150417843906
Gradient Boosting,SITE-043,6.94364037539799,6.94364037539799,11.78380605798425
Gradient Boosting,SITE-044,6.316858369523196,6.316858369523196,11.027595833367283
Gradient Boosting,SITE-045,3.4890107145199156,3.0726722993313538,4.968636492590008
Gradient Boosting,SITE-046,0.5408885619487052,0.5408885619487052,0.8268839515479307
Gradient Boosting,SITE-047,1.4866274333422496,1.4866274333422496,2.344971405863788
Gradient Boosting,SITE-048,11.719732610503476,11.58582543681351,22.165879651137068
Gradient Boosting,SITE-049,0.8944088618371353,0.8944088618371353,1.3590199418393452
Gradient Boosting,SITE-050,19.230154248535214,19.230154248535214,40.86212276243788
Moving Average (3h),SITE-001,9.782899240152915,9.782899240152915,12.902820945008859
Moving Average (3h),SITE-002,16.183473408109435,14.78946647820509,23.96348858141758
Moving Average (3h),SITE-003,23.11808737162899,19.80169405399162,51.6987444388819
Moving Average (3h),SITE-004,18.051520891601037,18.051520891601037,31.321882550955944
Moving Average (3h),SITE-005,12.656642180458302,10.67334269565757,15.737002658529054
Moving Average (3h),SITE-006,8.17705886763116,8.17705886763116,10.982977219139372
