model,rmse,mae,mape
Random Forest,10.529608470781229,8.184231539986722,14.109288820424526
Gradient Boosting,10.77605645289038,8.505299214877104,14.611478077049048
Moving Average (3h),11.783209168300239,9.240164461822381,15.623826789353798
Naive Persistence,13.235427990901693,10.094717111613779,16.878336089845355
SARIMA,14.444226911607215,11.017289411138364,18.633079903286305
